CountryCode,DisplayName,region,Level,ProjYear,EPL,LPL,UPL,p20,p80
BGD,Bangladesh,SAS,National,2015,0.1467391,0.529675,0.8455426,0.3836801,0.994778
BGD,Bangladesh,SAS,National,2018,0.07569008,0.3984233,0.7752375,0.3149544,
BGD,Bangladesh,SAS,National,2019,0.06618195,0.3743952,0.7601216,0.3035977,
BGD,Bangladesh,SAS,National,2020,0.0568376,0.3480996,0.7437453,0.2699124,
BGD,Bangladesh,SAS,National,2021,0.04751478,0.321628,0.7212092,0.2608524,
BGR,Bulgaria,ECA,National,1981,0.0006217791,0.001391468,0.006654421,0.0003705315,0.3463852
BGR,Bulgaria,ECA,National,1984,0.0005463997,0.001109777,0.004340023,0.0003810223,0.2370487
BGR,Bulgaria,ECA,National,1987,0.0005038418,0.0009821034,0.003426675,0.0003867071,0.2032804
BGR,Bulgaria,ECA,National,1990,0.0007231377,0.001304008,0.00403323,0.0005577875,0.1546244
BGR,Bulgaria,ECA,National,1993,0.001987987,0.004592362,0.02353464,0.001443288,0.4445966
BGR,Bulgaria,ECA,National,1996,0.006151645,0.01836267,0.1244414,0.003611029,0.7155371
BGR,Bulgaria,ECA,National,1999,0.02620059,0.08722123,0.3709433,0.01454659,0.8940156
BGR,Bulgaria,ECA,National,2002,0.01403136,0.06152067,0.2367165,0.008886787,0.8263365
BGR,Bulgaria,ECA,National,2005,0.007584763,0.03789913,0.156232,0.007380046,0.8481791
BGR,Bulgaria,ECA,National,2008,0.01215443,0.0336759,0.09141186,0.01306444,0.6658037
BGR,Bulgaria,ECA,National,2010,0.01978138,0.04414973,0.1139784,0.02184358,0.6971139
BGR,Bulgaria,ECA,National,2011,0.0244643,0.05041658,0.1185234,0.03146268,0.7547783
BGR,Bulgaria,ECA,National,2012,0.02200165,0.05374941,0.1159046,0.02907742,0.7512101
BGR,Bulgaria,ECA,National,2013,0.01783777,0.04990184,0.1153474,0.03622464,0.697185
BGR,Bulgaria,ECA,National,2015,0.03394833,0.0596983,0.1241509,0.05032683,0.7072772
BGR,Bulgaria,ECA,National,2018,0.008704606,0.0215844,0.06897738,0.0181791,
BGR,Bulgaria,ECA,National,2019,0.00785732,0.0198947,0.06101389,0.01791503,
BGR,Bulgaria,ECA,National,2020,0.008704606,0.02069471,0.06554953,0.0181791,
BGR,Bulgaria,ECA,National,2021,0.00785732,0.0198947,0.06101389,0.01812591,
BIH,Bosnia and Herzegovina,ECA,National,1981,0.01981134,0.1447472,0.5378147,0.003317721,0.9685092
BIH,Bosnia and Herzegovina,ECA,National,1984,0.01901732,0.1390192,0.528021,0.005400042,0.9666658
BIH,Bosnia and Herzegovina,ECA,National,1987,0.01840445,0.1371607,0.5243527,0.006494384,0.967637
BIH,Bosnia and Herzegovina,ECA,National,1990,0.04042068,0.2187008,0.6374814,0.008482286,0.9806653
BIH,Bosnia and Herzegovina,ECA,National,1993,0.3736455,0.7778384,0.962587,0.1571498,0.9955072
BIH,Bosnia and Herzegovina,ECA,National,1996,0.01446761,0.1200414,0.4841456,0.007216456,0.9452761
BIH,Bosnia and Herzegovina,ECA,National,1999,0.003317721,0.01391134,0.1210001,0.002979579,0.6881746
BIH,Bosnia and Herzegovina,ECA,National,2002,0.002914761,0.009334237,0.06879648,0.00239408,0.561021
BIH,Bosnia and Herzegovina,ECA,National,2005,0.00129125,0.005729088,0.03431366,0.00129125,0.4422356
BIH,Bosnia and Herzegovina,ECA,National,2008,0.0005844481,0.004857929,0.02945672,0.0006858857,0.4844193
BIH,Bosnia and Herzegovina,ECA,National,2010,0.0005880594,0.006852917,0.0367682,0.001083748,0.5532763
BIH,Bosnia and Herzegovina,ECA,National,2011,0.0005898651,0.007175195,0.03752241,0.001325822,0.5645668
BIH,Bosnia and Herzegovina,ECA,National,2012,0.0005898651,0.006739177,0.0369717,0.001374265,0.5791379
