CountryCode,DisplayName,region,Level,ProjYear,variable,line,old.PovertyLine,old.value,PovertyLine,value,PovertyLine_2,value_2,diff,diff2
FJI,Fiji,EAP,National,2018,HeadCount,EPL,1.9,0.004805912,2.195249,0.001583049,2.308829,0.002117448,-0.003222863,-0.002688464
FJI,Fiji,EAP,National,2018,HeadCount,LPL,3.2,0.07472677,3.642544,0.0269885,3.981504,0.04278626,-0.04773827,-0.03194051
FJI,Fiji,EAP,National,2018,HeadCount,UPL,5.5,0.3585965,6.11676,0.1896485,5.939234,0.1741542,-0.168948,-0.1844423
FRA,France,OHI,National,2018,HeadCount,EPL,1.9,0.0001362595,2.195249,0.0001848354,2.308829,0.0001848354,4.85759e-05,4.85759e-05
FRA,France,OHI,National,2018,HeadCount,LPL,3.2,0.0002834128,3.642544,0.0003175891,3.981504,0.0003502021,3.41763e-05,6.67893e-05
FRA,France,OHI,National,2018,HeadCount,UPL,5.5,0.0006274098,6.11676,0.0006274098,5.939234,0.0005453187,0,-8.20911000000001e-05
FSM,"Micronesia, Federated States of",EAP,National,2018,HeadCount,EPL,1.9,0.1539292,2.195249,0.1671622,2.308829,0.1874429,0.013233,0.0335137
FSM,"Micronesia, Federated States of",EAP,National,2018,HeadCount,LPL,3.2,0.3887995,3.642544,0.4067023,3.981504,0.4653058,0.0179028,0.0765063
FSM,"Micronesia, Federated States of",EAP,National,2018,HeadCount,UPL,5.5,0.6909485,6.11676,0.6985601,5.939234,0.68815,0.00761160000000005,-0.00279849999999993
GAB,Gabon,SSA,National,2018,HeadCount,EPL,1.9,0.03466373,2.195249,0.02768946,2.308829,0.03158559,-0.00697427,-0.00307814
GAB,Gabon,SSA,National,2018,HeadCount,LPL,3.2,0.1172348,3.642544,0.08551025,3.981504,0.1116354,-0.03172455,-0.00559940000000001
GAB,Gabon,SSA,National,2018,HeadCount,UPL,5.5,0.3294114,6.11676,0.2697029,5.939234,0.2526861,-0.0597085,-0.0767253
GBR,United Kingdom,OHI,National,2018,HeadCount,EPL,1.9,0.001981104,2.195249,0.002102617,2.308829,0.002102617,0.000121513,0.000121513
GBR,United Kingdom,OHI,National,2018,HeadCount,LPL,3.2,0.003167623,3.642544,0.00334237,3.981504,0.003438525,0.000174747,0.000270902
GBR,United Kingdom,OHI,National,2018,HeadCount,UPL,5.5,0.004616206,6.11676,0.00475489,5.939234,0.00475489,0.000138684,0.000138684
GEO,Georgia,ECA,National,2018,HeadCount,EPL,1.9,0.04540559,2.195249,0.05994097,2.308829,0.06670489,0.01453538,0.0212993
GEO,Georgia,ECA,National,2018,HeadCount,LPL,3.2,0.1574771,3.642544,0.1951139,3.981504,0.2292101,0.0376368,0.071733
GEO,Georgia,ECA,National,2018,HeadCount,UPL,5.5,0.4286822,6.11676,0.4684593,5.939234,0.4490069,0.0397771,0.0203247
GHA,Ghana,SSA,National,2018,HeadCount,EPL,1.9,0.1226565,2.195249,0.1694868,2.308829,0.186391,0.0468303,0.0637345
GHA,Ghana,SSA,National,2018,HeadCount,LPL,3.2,0.284732,3.642544,0.3558499,3.981504,0.3948248,0.0711179,0.1100928
GHA,Ghana,SSA,National,2018,HeadCount,UPL,5.5,0.5402433,6.11676,0.6199257,5.939234,0.6033093,0.0796824,0.0630660000000001
GIN,Guinea,SSA,National,2018,HeadCount,EPL,1.9,0.2199472,2.195249,0.1239674,2.308829,0.1434035,-0.0959798,-0.0765437
GIN,Guinea,SSA,National,2018,HeadCount,LPL,3.2,0.5603681,3.642544,0.4007714,3.981504,0.4612921,-0.1595967,-0.0990760000000001
GIN,Guinea,SSA,National,2018,HeadCount,UPL,5.5,0.8605202,6.11676,0.7380447,5.939234,0.7215099,-0.1224755,-0.1390103
GMB,"Gambia, The",SSA,National,2018,HeadCount,EPL,1.9,0.08914419,2.195249,0.1255417,2.308829,0.1439185,0.03639751,0.05477431
GMB,"Gambia, The",SSA,National,2018,HeadCount,LPL,3.2,0.3465458,3.642544,0.4133546,3.981504,0.477342,0.0668088,0.1307962
GMB,"Gambia, The",SSA,National,2018,HeadCount,UPL,5.5,0.7023863,6.11676,0.7369848,5.939234,0.7244282,0.0345985,0.0220418999999999
GNB,Guinea-Bissau,SSA,National,2018,HeadCount,EPL,1.9,0.6163996,2.195249,0.6250248,2.308829,0.6485411,0.0086252,0.0321414999999999
GNB,Guinea-Bissau,SSA,National,2018,HeadCount,LPL,3.2,0.8205689,3.642544,0.8205689,3.981504,0.837448,0,0.0168790999999999
GNB,Guinea-Bissau,SSA,National,2018,HeadCount,UPL,5.5,0.9187988,6.11676,0.9152249,5.939234,0.912367,-0.00357390000000002,-0.00643179999999999
GRC,Greece,OHI,National,2018,HeadCount,EPL,1.9,0.008727767,2.195249,0.008751357,2.308829,0.008994047,2.35899999999987e-05,0.000266279999999999
GRC,Greece,OHI,National,2018,HeadCount,LPL,3.2,0.01591985,3.642544,0.01591985,3.981504,0.01735589,0,0.00143604
GRC,Greece,OHI,National,2018,HeadCount,UPL,5.5,0.04323028,6.11676,0.04080397,5.939234,0.03895438,-0.00242631,-0.00427590000000001
GTM,Guatemala,LAC,National,2018,HeadCount,EPL,1.9,0.06965079,2.195249,0.07749292,2.308829,0.08778929,0.00784213,0.0181385
GTM,Guatemala,LAC,National,2018,HeadCount,LPL,3.2,0.2081442,3.642544,0.2205499,3.981504,0.2551157,0.0124057,0.0469715
GTM,Guatemala,LAC,National,2018,HeadCount,UPL,5.5,0.4392884,6.11676,0.4450681,5.939234,0.4321681,0.0057797,-0.00712030000000002
GUY,Guyana,LAC,National,2018,HeadCount,EPL,1.9,0.05605751,2.195249,0.049325,2.308829,0.05445481,-0.00673251,-0.0016027
GUY,Guyana,LAC,National,2018,HeadCount,LPL,3.2,0.1343263,3.642544,0.1186563,3.981504,0.1360709,-0.01567,0.00174459999999998
